prod,prod,pond
SERVICIODETRANSPORTEENMICROBUS,PRODUCTO_SERVICIODETRANSPORTEENMICROBUS,0.5774
SERVICIODETRANSFER,PRODUCTO_SERVICIODETRANSFER,0.0251
SERVICIODETRANSPORTEENBUSINTERURBANO,PRODUCTO_SERVICIODETRANSPORTEENBUSINTERURBANO,0.49365
SERVICIODETRANSPORTEAEREO,PRODUCTO_SERVICIODETRANSPORTEAEREO,0.75389
SERVICIODETRANSPORTEMULTIMODAL,PRODUCTO_SERVICIODETRANSPORTEMULTIMODAL,1.26432
EQUIPODETELEFONIAMOVIL,PRODUCTO_EQUIPODETELEFONIAMOVIL,0.61378
SERVICIODECONEXIONINTERNET,PRODUCTO_SERVICIODECONEXIONINTERNET,0.29033
SERVICIODEBANDAANCHAMOVIL,PRODUCTO_SERVICIODEBANDAANCHAMOVIL,0.01605
SERVICIODEPACKDETELECOMUNICACIONES,PRODUCTO_SERVICIODEPACKDETELECOMUNICACIONES,2.09814
SERVICIODETELEFONIAMOVIL,PRODUCTO_SERVICIODETELEFONIAMOVIL,2.34556
SERVICIODETELEFONIAFIJA,PRODUCTO_SERVICIODETELEFONIAFIJA,0.09102
TELEVISOR,PRODUCTO_TELEVISOR,0.40468
EQUIPODESONIDO,PRODUCTO_EQUIPODESONIDO,0.04775
REPRODUCTORPORTATILDEAUDIOYVIDEO,PRODUCTO_REPRODUCTORPORTATILDEAUDIOYVIDEO,0.03111
CAMARAFOTOGRAFICA,PRODUCTO_CAMARAFOTOGRAFICA,0.06172
COMPUTADOR,PRODUCTO_COMPUTADOR,0.41602
IMPRESORA,PRODUCTO_IMPRESORA,0.05232
UNIDADDEALMACENAMIENTODIGITAL,PRODUCTO_UNIDADDEALMACENAMIENTODIGITAL,0.04773
JUGUETES,PRODUCTO_JUGUETES,0.39909
CONSOLADEVIDEOJUEGO,PRODUCTO_CONSOLADEVIDEOJUEGO,0.05363
IMPLEMENTOSDEPORTIVOS,PRODUCTO_IMPLEMENTOSDEPORTIVOS,0.18023
ARTICULOSDECAMPING,PRODUCTO_ARTICULOSDECAMPING,0.04496
INSTRUMENTOSMUSICALES,PRODUCTO_INSTRUMENTOSMUSICALES,0.07416
FLORES,PRODUCTO_FLORES,0.08826
PLANTAS,PRODUCTO_PLANTAS,0.03139
ALIMENTOSPARAMASCOTAS,PRODUCTO_ALIMENTOSPARAMASCOTAS,0.68823
ACCESORIOSPARAMASCOTAS,PRODUCTO_ACCESORIOSPARAMASCOTAS,0.06456
SERVICIOSVETERINARIOS,PRODUCTO_SERVICIOSVETERINARIOS,0.24731
SERVICIOSPRESTADOSPORCENTROSRECREATIVOS,PRODUCTO_SERVICIOSPRESTADOSPORCENTROSRECREATIVOS,0.07416
ENTRADAAESPECTACULOSDEPORTIVOS,PRODUCTO_ENTRADAAESPECTACULOSDEPORTIVOS,0.02565
ENTRADAACENTROSDEDIVERSIONNOCTURNOS,PRODUCTO_ENTRADAACENTROSDEDIVERSIONNOCTURNOS,0.05024
SERVICIOSDEFIESTASDECUMPLEAÑOS,PRODUCTO_SERVICIOSDEFIESTASDECUMPLEAÑOS,0.15119
GIMNASIOS,PRODUCTO_GIMNASIOS,0.5476
CLASESDEPORTIVAS,PRODUCTO_CLASESDEPORTIVAS,0.20658
CLASESRECREATIVAS,PRODUCTO_CLASESRECREATIVAS,0.1051
ENTRADAALCINE,PRODUCTO_ENTRADAALCINE,0.23441
ENTRADAAESPECTACULOSCULTURALES,PRODUCTO_ENTRADAAESPECTACULOSCULTURALES,0.25826
SERVICIODEREVELADOFOTOGRAFICO,PRODUCTO_SERVICIODEREVELADOFOTOGRAFICO,0.02779
SERVICIODETELEVISIONPAGADARESIDENCIAL,PRODUCTO_SERVICIODETELEVISIONPAGADARESIDENCIAL,0.33837
