Fecha,Dia,Mes,Year,a,b
26.02.2015,26,2,2015,619.7,
27.02.2015,27,2,2015,617.36,
02.03.2015,2,3,2015,616.45,628.6177273
03.03.2015,3,3,2015,617.1,
04.03.2015,4,3,2015,618.87,
05.03.2015,5,3,2015,620.45,
06.03.2015,6,3,2015,625.62,
09.03.2015,9,3,2015,628.1,
10.03.2015,10,3,2015,635.65,
11.03.2015,11,3,2015,638.05,
12.03.2015,12,3,2015,634.05,
13.03.2015,13,3,2015,640,
16.03.2015,16,3,2015,640.79,
17.03.2015,17,3,2015,641.29,
18.03.2015,18,3,2015,636,
19.03.2015,19,3,2015,640.38,
20.03.2015,20,3,2015,631.7,
23.03.2015,23,3,2015,624.2,
24.03.2015,24,3,2015,622.2,
25.03.2015,25,3,2015,621.06,
26.03.2015,26,3,2015,623,
27.03.2015,27,3,2015,623.24,
30.03.2015,30,3,2015,626.89,
31.03.2015,31,3,2015,624.5,
01.04.2015,1,4,2015,617.6,613.6877273
02.04.2015,2,4,2015,615.3,
03.04.2015,3,4,2015,615.2,
06.04.2015,6,4,2015,611.65,
07.04.2015,7,4,2015,610.03,
08.04.2015,8,4,2015,611.6,
09.04.2015,9,4,2015,616.4,
10.04.2015,10,4,2015,619.5,
13.04.2015,13,4,2015,616.65,
14.04.2015,14,4,2015,613.6,
15.04.2015,15,4,2015,613.36,
16.04.2015,16,4,2015,610.52,
17.04.2015,17,4,2015,611.57,
20.04.2015,20,4,2015,616.45,
21.04.2015,21,4,2015,616.33,
22.04.2015,22,4,2015,619.12,
23.04.2015,23,4,2015,614.8,
24.04.2015,24,4,2015,613,
27.04.2015,27,4,2015,610.5,
28.04.2015,28,4,2015,606.7,
29.04.2015,29,4,2015,609.5,
30.04.2015,30,4,2015,611.75,
01.05.2015,1,5,2015,611.78,607.9014286
04.05.2015,4,5,2015,614.61,
05.05.2015,5,5,2015,609.9,
06.05.2015,6,5,2015,612.3,
07.05.2015,7,5,2015,609.53,
08.05.2015,8,5,2015,604.95,
11.05.2015,11,5,2015,610.23,
12.05.2015,12,5,2015,604.08,
13.05.2015,13,5,2015,602.65,
14.05.2015,14,5,2015,594.6,
15.05.2015,15,5,2015,597.42,
18.05.2015,18,5,2015,600.08,
19.05.2015,19,5,2015,604.1,
20.05.2015,20,5,2015,604.1,
21.05.2015,21,5,2015,604,
22.05.2015,22,5,2015,608.3,
25.05.2015,25,5,2015,610.9,
26.05.2015,26,5,2015,613.3,
27.05.2015,27,5,2015,614.95,
28.05.2015,28,5,2015,616.12,
29.05.2015,29,5,2015,618.03,
01.06.2015,1,6,2015,624.13,631.7368182
02.06.2015,2,6,2015,622.25,
03.06.2015,3,6,2015,627.62,
04.06.2015,4,6,2015,628.54,
05.06.2015,5,6,2015,636.5,
08.06.2015,8,6,2015,630.9,
09.06.2015,9,6,2015,625.4,
10.06.2015,10,6,2015,631.32,
11.06.2015,11,6,2015,630.47,
12.06.2015,12,6,2015,631.3,
15.06.2015,15,6,2015,634.1,
16.06.2015,16,6,2015,635.52,
17.06.2015,17,6,2015,634.12,
18.06.2015,18,6,2015,629.25,
19.06.2015,19,6,2015,632.75,
22.06.2015,22,6,2015,631.7,
23.06.2015,23,6,2015,633.05,
