prod,pond
PRODUCTO_SERVICIODEEDUCACIONDEJARDININFANTIL,0.29383
PRODUCTO_SERVICIODEEDUCACIONDETRANSICION,0.21585
PRODUCTO_SERVICIODEEDUCACIONDE1°CICLODELAENSEÑANZABASICA,0.64393
PRODUCTO_SERVICIODEEDUCACIONDE2°CICLODELAENSEÑANZABASICA,0.5697
PRODUCTO_SERVICIODEEDUCACIONDELAENSEÑANZAMEDIA,0.64279
PRODUCTO_SERVICIODEPREUNIVERSITARIO,0.16925
PRODUCTO_SERVICIODEENSEÑANZAENCENTROSDEFORMACIONTECNICA,0.14346
PRODUCTO_SERVICIODEENSEÑANZAENINSTITUTOPROFESIONAL,0.61738
PRODUCTO_SERVICIODEENSEÑANZAUNIVERSITARIA,2.49843
PRODUCTO_SERVICIODEENSEÑANZADEPOSTGRADOYPOSTITULO,0.26762
PRODUCTO_CURSOSDECAPACITACION,0.53344
PRODUCTO_ALIMENTOSCONSUMIDOSFUERADELHOGAR,3.10518
PRODUCTO_SANDWICHYCOMPLETOCONSUMIDOFUERADELHOGAR,0.57601
PRODUCTO_BEBIDAALCOHOLICACONSUMIDAFUERADELHOGAR,0.16398
PRODUCTO_BEBIDANOALCOHOLICACONSUMIDAFUERADELHOGAR,0.33339
PRODUCTO_HELADOSYPOSTRESCONSUMIDOSFUERADELHOGAR,0.08952
PRODUCTO_PLATOSPREPARADOSPARALLEVAR,1.60063
PRODUCTO_SERVICIODEALOJAMIENTOTURISTICO,0.51476
PRODUCTO_SERVICIOSDEPELUQUERIA,0.28677
PRODUCTO_SERVICIOSENCENTROSDEESTETICA,0.11232
PRODUCTO_AFEITADORAYDEPILADORAELECTRICA,0.03
PRODUCTO_MAQUINADEAFEITARDESECHABLE,0.0544
PRODUCTO_ARTICULOSDIVERSOSPARAELCUIDADOPERSONAL,0.03717
PRODUCTO_BLOQUEADORESYBRONCEADORES,0.03724
PRODUCTO_COLONIASYPERFUMES,0.20367
PRODUCTO_DESODORANTESYANTITRANSPIRANTES,0.16733
PRODUCTO_PRODUCTOSDEHIGIENEBUCAL,0.17978
PRODUCTO_PAPELHIGIENICO,0.37335
PRODUCTO_JABON,0.11949
PRODUCTO_PAÑALESDESECHABLES,0.36613
PRODUCTO_PROTECCIONHIGIENICAFEMENINA,0.08028
PRODUCTO_SHAMPOOYBALSAMO,0.28385
PRODUCTO_CREMASPARALAPIEL,0.17784
PRODUCTO_PRODUCTOSDEMAQUILLAJE,0.15331
PRODUCTO_TINTURASYFIJADORES,0.12015
PRODUCTO_JOYAS,0.17174
PRODUCTO_RELOJDEPULSERA,0.06962
PRODUCTO_ARTICULOSPARATRANSPORTEDEEFECTOSPERSONALES,0.29735
PRODUCTO_ARTICULOSPARATRANSPORTEDEBEBE,0.03873
PRODUCTO_LENTESDESOL,0.04135
PRODUCTO_SEGUROS,0.61603
PRODUCTO_GASTOFINANCIERO,0.23354
PRODUCTO_SERVICIODEEMISIONDECERTIFICADO,0.04128
PRODUCTO_SERVICIODEFOTOCOPIADO,0.04202
PRODUCTO_MEMBRESIAENASOCIACIONPROFESIONAL,0.09664
PRODUCTO_SERVICIONOTARIAL,0.01836
PRODUCTO_SERVICIOFUNERARIO,0.31463
PRODUCTO_CUOTASENCENTROSDEPADRESYAPODERADOS,0.15544
PRODUCTO_SERVICIODERESIDENCIASPARAADULTOSMAYORES,0.16485
PRODUCTO_SERVICIODESALACUNA,0.06794
